 spi_test_loopback 1000000 0 0 2 5 1 4096,TIMEOUT,20180728-202409
 spi_test_loopback 1000000 0 0 2 6 0 4096,TIMEOUT,20180728-202509
 spi_test_loopback 1000000 0 0 2 6 1 4096,TIMEOUT,20180728-202610
 spi_test_loopback 1000000 0 0 2 7 0 4096,TIMEOUT,20180728-202710
 spi_test_loopback 1000000 0 0 2 7 1 4096,TIMEOUT,20180728-202810
 spi_test_loopback 1000000 0 0 2 8 0 4096,TIMEOUT,20180728-202910
 spi_test_loopback 1000000 0 0 2 8 1 4096,TIMEOUT,20180728-203010
 spi_test_loopback 1000000 0 0 2 9 0 4096,TIMEOUT,20180728-203110
 spi_test_loopback 1000000 0 0 2 9 1 4096,TIMEOUT,20180728-203210
 spi_test_loopback 1000000 0 0 2 10 0 4096,TIMEOUT,20180728-203310
 spi_test_loopback 1000000 0 0 2 10 1 4096,TIMEOUT,20180728-203411
 spi_test_loopback 1000000 0 0 2 11 0 4096,TIMEOUT,20180728-203511
 spi_test_loopback 1000000 0 0 2 11 1 4096,TIMEOUT,20180728-203611
 spi_test_loopback 1000000 0 0 2 12 0 4096,TIMEOUT,20180728-203711
 spi_test_loopback 1000000 0 0 2 12 1 4096,TIMEOUT,20180728-203811
 spi_test_loopback 1000000 0 0 2 13 0 4096,TIMEOUT,20180728-203911
 spi_test_loopback 1000000 0 0 2 13 1 4096,TIMEOUT,20180728-204011
 spi_test_loopback 1000000 0 0 2 14 0 4096,TIMEOUT,20180728-204111
 spi_test_loopback 1000000 0 0 2 14 1 4096,TIMEOUT,20180728-204212
 spi_test_loopback 1000000 0 0 2 15 0 4096,TIMEOUT,20180728-204312
 spi_test_loopback 1000000 0 0 2 15 1 4096,TIMEOUT,20180728-204412
 spi_test_loopback 1000000 0 0 2 16 0 4096,TIMEOUT,20180728-204512
 spi_test_loopback 1000000 0 0 2 16 1 4096,TIMEOUT,20180728-204612
 spi_test_loopback 1000000 0 0 3 4 0 4096,TIMEOUT,20180728-204712
 spi_test_loopback 1000000 0 0 3 4 1 4096,TIMEOUT,20180728-204812
 spi_test_loopback 1000000 0 0 3 5 0 4096,TIMEOUT,20180728-204912
 spi_test_loopback 1000000 0 0 3 5 1 4096,TIMEOUT,20180728-205013
 spi_test_loopback 1000000 0 0 3 6 0 4096,TIMEOUT,20180728-205113
 spi_test_loopback 1000000 0 0 3 6 1 4096,TIMEOUT,20180728-205213
 spi_test_loopback 1000000 0 0 3 7 0 4096,TIMEOUT,20180728-205313
 spi_test_loopback 1000000 0 0 3 7 1 4096,TIMEOUT,20180728-205413
 spi_test_loopback 1000000 0 0 3 8 0 4096,TIMEOUT,20180728-205513
 spi_test_loopback 1000000 0 0 3 8 1 4096,TIMEOUT,20180728-205613
 spi_test_loopback 1000000 0 0 3 9 0 4096,TIMEOUT,20180728-205713
 spi_test_loopback 1000000 0 0 3 9 1 4096,TIMEOUT,20180728-205814
 spi_test_loopback 1000000 0 0 3 10 0 4096,TIMEOUT,20180728-205914
 spi_test_loopback 1000000 0 0 3 10 1 4096,TIMEOUT,20180728-210014
 spi_test_loopback 1000000 0 0 3 11 0 4096,TIMEOUT,20180728-210114
 spi_test_loopback 1000000 0 0 3 11 1 4096,TIMEOUT,20180728-210214
 spi_test_loopback 1000000 0 0 3 12 0 4096,TIMEOUT,20180728-210314
 spi_test_loopback 1000000 0 0 3 12 1 4096,TIMEOUT,20180728-210414
 spi_test_loopback 1000000 0 0 3 13 0 4096,TIMEOUT,20180728-210514
 spi_test_loopback 1000000 0 0 3 13 1 4096,TIMEOUT,20180728-210614
 spi_test_loopback 1000000 0 0 3 14 0 4096,TIMEOUT,20180728-210715
 spi_test_loopback 1000000 0 0 3 14 1 4096,TIMEOUT,20180728-210815
 spi_test_loopback 1000000 0 0 3 15 0 4096,TIMEOUT,20180728-210915
 spi_test_loopback 1000000 0 0 3 15 1 4096,TIMEOUT,20180728-211015
 spi_test_loopback 1000000 0 0 3 16 0 4096,TIMEOUT,20180728-211115
 spi_test_loopback 1000000 0 0 3 16 1 4096,TIMEOUT,20180728-211215
 spi_test_loopback 1000000 1 0 0 4 0 4096,TIMEOUT,20180728-211315
 spi_test_loopback 1000000 1 0 0 4 1 4096,TIMEOUT,20180728-211415
 spi_test_loopback 1000000 1 0 0 5 0 4096,TIMEOUT,20180728-211516
 spi_test_loopback 1000000 1 0 0 5 1 4096,TIMEOUT,20180728-211616
 spi_test_loopback 1000000 1 0 0 6 0 4096,TIMEOUT,20180728-211716
 spi_test_loopback 1000000 1 0 0 6 1 4096,TIMEOUT,20180728-211816
 spi_test_loopback 1000000 1 0 0 7 0 4096,TIMEOUT,20180728-211916
 spi_test_loopback 1000000 1 0 0 7 1 4096,TIMEOUT,20180728-212016
 spi_test_loopback 1000000 1 0 0 8 0 4096,TIMEOUT,20180728-212116
 spi_test_loopback 1000000 1 0 0 8 1 4096,TIMEOUT,20180728-212216
 spi_test_loopback 1000000 1 0 0 9 0 4096,TIMEOUT,20180728-212317
 spi_test_loopback 1000000 1 0 0 9 1 4096,TIMEOUT,20180728-212417
 spi_test_loopback 1000000 1 0 0 10 0 4096,TIMEOUT,20180728-212517
 spi_test_loopback 1000000 1 0 0 10 1 4096,TIMEOUT,20180728-212617
 spi_test_loopback 1000000 1 0 0 11 0 4096,TIMEOUT,20180728-212717
 spi_test_loopback 1000000 1 0 0 11 1 4096,TIMEOUT,20180728-212817
 spi_test_loopback 1000000 1 0 0 12 0 4096,TIMEOUT,20180728-212917
 spi_test_loopback 1000000 1 0 0 12 1 4096,TIMEOUT,20180728-213017
 spi_test_loopback 1000000 1 0 0 13 0 4096,TIMEOUT,20180728-213118
 spi_test_loopback 1000000 1 0 0 13 1 4096,TIMEOUT,20180728-213218
 spi_test_loopback 1000000 1 0 0 14 0 4096,TIMEOUT,20180728-213318
 spi_test_loopback 1000000 1 0 0 14 1 4096,TIMEOUT,20180728-213418
 spi_test_loopback 1000000 1 0 0 15 0 4096,TIMEOUT,20180728-213518
 spi_test_loopback 1000000 1 0 0 15 1 4096,TIMEOUT,20180728-213618
 spi_test_loopback 1000000 1 0 0 16 0 4096,TIMEOUT,20180728-213718
 spi_test_loopback 1000000 1 0 0 16 1 4096,TIMEOUT,20180728-213818
 spi_test_loopback 1000000 1 0 1 4 0 4096,TIMEOUT,20180728-213919
 spi_test_loopback 1000000 1 0 1 4 1 4096,TIMEOUT,20180728-214019
 spi_test_loopback 1000000 1 0 1 5 0 4096,TIMEOUT,20180728-214119
 spi_test_loopback 1000000 1 0 1 5 1 4096,TIMEOUT,20180728-214219
 spi_test_loopback 1000000 1 0 1 6 0 4096,TIMEOUT,20180728-214319
 spi_test_loopback 1000000 1 0 1 6 1 4096,TIMEOUT,20180728-214419
 spi_test_loopback 1000000 1 0 1 7 0 4096,TIMEOUT,20180728-214519
 spi_test_loopback 1000000 1 0 1 7 1 4096,TIMEOUT,20180728-214619
 spi_test_loopback 1000000 1 0 1 8 0 4096,TIMEOUT,20180728-214720
 spi_test_loopback 1000000 1 0 1 8 1 4096,TIMEOUT,20180728-214820
 spi_test_loopback 1000000 1 0 1 9 0 4096,TIMEOUT,20180728-214920
 spi_test_loopback 1000000 1 0 1 9 1 4096,TIMEOUT,20180728-215020
 spi_test_loopback 1000000 1 0 1 10 0 4096,TIMEOUT,20180728-215120
 spi_test_loopback 1000000 1 0 1 10 1 4096,TIMEOUT,20180728-215220
 spi_test_loopback 1000000 1 0 1 11 0 4096,TIMEOUT,20180728-215320
 spi_test_loopback 1000000 1 0 1 11 1 4096,TIMEOUT,20180728-215420
 spi_test_loopback 1000000 1 0 1 12 0 4096,TIMEOUT,20180728-215521
 spi_test_loopback 1000000 1 0 1 12 1 4096,TIMEOUT,20180728-215621
 spi_test_loopback 1000000 1 0 1 13 0 4096,TIMEOUT,20180728-215721
 spi_test_loopback 1000000 1 0 1 13 1 4096,TIMEOUT,20180728-215821
